,wave1_amp,wave1_phase,wave2_amp,wave2_phase,wave3_amp,wave3_phase,wave4_amp,wave4_phase,wave5_amp,wave5_phase,wave6_amp,wave6_phase,wave7_amp,wave7_phase,wave8_amp,wave8_phase,wave9_amp,wave9_phase,ZW3_index,env_amp_mean,env_extent,env_start_lon,env_end_lon,nenv_amp_mean,nenv_extent,nenv_start_lon,nenv_end_lon
2001-02-19,1.2671529054641724,290.25,0.7381960153579712,67.5,2.24442195892334,95.25,2.6897757053375244,80.25,0.34766891598701477,16.5,0.34585806727409363,18.0,0.17081189155578613,1.5,0.30783116817474365,30.0,0.19825342297554016,30.0,0.031392812728881836,4.7454142570495605,117.0,15.75,132.0,1.5572389364242554,125.25,24.0,148.5
2001-02-20,1.2417652606964111,291.0,0.7270259857177734,70.5,2.1816155910491943,95.25,2.640754461288452,80.25,0.4142983853816986,15.75,0.2526494860649109,21.75,0.15925414860248566,47.25,0.2597024440765381,30.75,0.16821950674057007,30.75,-0.018617073073983192,4.66438102722168,115.5,18.0,132.75,1.506675124168396,121.5,30.0,150.75
2001-02-21,1.215381145477295,292.5,0.7093473076820374,72.0,2.1291558742523193,95.25,2.6367392539978027,80.25,0.5316256880760193,15.75,0.1384739726781845,22.5,0.172110915184021,49.5,0.26512080430984497,30.0,0.2160695493221283,30.0,-0.022009611129760742,4.62820291519165,117.0,18.75,135.0,1.4674441814422607,122.25,31.5,153.0
2001-02-22,1.1849881410598755,293.25,0.7094865441322327,72.0,2.0401594638824463,94.5,2.5747010707855225,80.25,0.6211997866630554,18.0,0.03557896241545677,13.5,0.1250285655260086,48.75,0.2748698890209198,30.0,0.12303856760263443,32.25,0.028662243857979774,4.632889270782471,117.75,19.5,136.5,1.4672633409500122,126.0,32.25,157.5
2001-02-23,1.155774474143982,294.0,0.7354047298431396,72.0,1.9932312965393066,93.75,2.450436592102051,80.25,0.6523250341415405,21.0,0.16647212207317352,7.5,0.15120507776737213,46.5,0.2755393385887146,30.75,0.15190504491329193,30.75,0.0996071919798851,4.605172157287598,113.25,24.0,136.5,1.445520281791687,122.25,39.0,160.5
2001-02-24,1.1365478038787842,294.75,0.7666237950325012,72.0,1.9354666471481323,93.75,2.3472132682800293,80.25,0.6116177439689636,23.25,0.2189377099275589,12.0,0.16913321614265442,47.25,0.265060693025589,30.0,0.1410178542137146,30.75,0.10962458699941635,4.4719743728637695,105.0,30.0,134.25,1.3514988422393799,90.0,69.0,158.25
2001-02-25,1.1214994192123413,295.5,0.7855516672134399,72.0,1.8323885202407837,93.0,2.26534104347229,80.25,0.5415021181106567,26.25,0.15626783668994904,13.5,0.16764050722122192,45.75,0.27366897463798523,30.0,0.12371606379747391,31.5,0.06772089004516602,4.296952247619629,93.0,39.75,132.0,1.2163480520248413,73.5,84.0,156.75
2001-02-26,1.1046662330627441,295.5,0.8290706872940063,72.0,1.7720534801483154,92.25,2.23203706741333,79.5,0.4434274435043335,27.0,0.18625076115131378,9.0,0.21506910026073456,48.0,0.22787675261497498,30.0,0.15823963284492493,30.0,0.04379383847117424,4.205275535583496,90.75,39.75,129.75,1.1235575675964355,54.0,91.5,144.75
2001-02-27,1.097771406173706,296.25,0.8769391179084778,72.0,1.7417796850204468,91.5,2.245842695236206,79.5,0.3930094540119171,26.25,0.315640389919281,11.25,0.13967402279376984,50.25,0.27092400193214417,27.75,0.1430054008960724,31.5,0.04508630558848381,4.1813530921936035,95.25,35.25,129.75,1.0896810293197632,49.5,95.25,144.0
2001-02-28,1.0999993085861206,297.75,0.927393913269043,71.25,1.6784766912460327,91.5,2.2049829959869385,79.5,0.4343538284301758,26.25,0.3087524473667145,12.75,0.13833899796009064,45.0,0.2872123122215271,30.0,0.11164960265159607,31.5,0.02128235436975956,4.133874893188477,84.0,45.75,129.0,1.0541777610778809,50.25,94.5,144.0
2001-03-01,1.103281021118164,299.25,0.9719389081001282,71.25,1.6573067903518677,90.75,2.205667734146118,79.5,0.4693441390991211,27.0,0.3247753381729126,13.5,0.1918991357088089,45.75,0.26310136914253235,28.5,0.12302044779062271,31.5,-0.017563382163643837,4.114587783813477,81.0,49.5,129.75,1.0152853727340698,48.75,93.75,141.75
